SNo,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
11,Paolo Banchero,ORL,22,46,21,25,34.4,25.9,9.0,19.8,45.2,1.9,5.9,32.0,6.1,8.4,72.7,1.1,6.4,7.5,4.8,3.0,0.8,0.6,2.1,43.3,11.0,0.0,-0.5
12,Devin Booker,PHX,28,75,35,40,37.3,25.6,8.7,18.9,46.1,2.4,7.3,33.2,5.8,6.4,89.4,1.0,3.1,4.1,7.1,2.9,0.9,0.2,2.6,41.5,16.0,0.0,-2.4
13,LaMelo Ball,CHA,23,47,16,31,32.0,25.2,8.6,21.3,40.5,3.8,11.2,33.9,4.1,4.9,84.3,1.0,3.9,4.9,7.4,3.6,1.1,0.3,3.3,42.9,13.0,0.0,-2.8
14,Damian Lillard,MIL,34,58,32,26,36.1,24.9,7.7,17.1,44.8,3.4,9.0,37.6,6.2,6.8,92.1,0.5,4.2,4.7,7.1,2.8,1.2,0.2,1.7,42.5,14.0,2.0,0.9
15,Anthony Davis,DAL,32,51,30,21,33.4,24.7,9.2,17.8,51.6,0.7,2.4,28.2,5.6,7.2,77.5,2.6,8.9,11.6,3.5,2.2,1.2,2.2,1.9,51.7,36.0,1.0,0.5
16,Kyrie Irving,DAL,33,50,28,22,36.1,24.7,8.9,18.9,47.3,2.9,7.2,40.1,3.9,4.3,91.6,1.2,3.6,4.8,4.6,2.2,1.3,0.5,2.0,40.5,0.0,0.0,2.5
17,Zion Williamson,NOP,24,30,10,20,28.6,24.6,9.6,16.9,56.7,0.1,0.4,23.1,5.3,8.0,65.6,2.5,4.7,7.2,5.3,3.0,1.2,0.9,2.7,44.6,8.0,2.0,-1.4
18,Stephen Curry,GSW,37,70,41,29,32.2,24.5,8.1,18.0,44.8,4.4,11.2,39.7,4.0,4.3,93.3,0.6,3.9,4.4,6.0,2.9,1.1,0.4,1.4,40.7,9.0,0.0,4.3
19,Karl-Anthony Towns,NYK,29,72,46,26,35.0,24.4,8.9,16.9,52.6,2.0,4.7,42.0,4.7,5.7,82.9,2.9,9.8,12.8,3.1,2.7,1.0,0.7,3.5,46.8,58.0,1.0,5.3
20,LeBron James,LAL,40,70,44,26,34.9,24.4,9.3,18.1,51.3,2.1,5.7,37.6,3.7,4.7,78.2,1.0,6.8,7.8,8.2,3.7,1.0,0.6,1.4,47.1,32.0,10.0,-0.8
21,Victor Wembanyama,SAS,21,46,21,25,33.2,24.3,8.9,18.6,47.6,3.1,8.8,35.2,3.4,4.1,83.6,1.8,9.2,11.0,3.7,3.2,1.1,3.8,2.3,54.6,28.0,1.0,2.2
22,Trae Young,ATL,26,76,36,40,36.0,24.2,7.4,18.1,41.1,2.9,8.4,34.0,6.5,7.4,87.5,0.5,2.6,3.1,11.6,4.7,1.2,0.2,1.9,44.7,51.0,0.0,0.4
23,Franz Wagner,ORL,23,60,33,27,33.7,24.2,9.0,19.4,46.3,1.7,5.9,29.5,4.5,5.2,87.1,0.9,4.8,5.7,4.7,2.3,1.3,0.4,2.5,40.6,3.0,0.0,4.1
24,Cam Thomas,BKN,23,25,8,17,31.2,24.0,8.0,18.2,43.8,2.7,7.8,34.9,5.3,6.0,88.1,0.6,2.7,3.3,3.8,2.5,0.6,0.1,1.8,33.1,1.0,0.0,-3.7
25,Donovan Mitchell,CLE,28,71,55,16,31.4,24.0,8.2,18.6,44.3,3.3,8.9,36.8,4.2,5.1,82.3,0.8,3.7,4.5,5.0,2.1,1.3,0.2,2.0,39.5,6.0,0.0,7.4
26,Tyler Herro,MIA,25,77,37,40,35.4,23.9,8.5,17.9,47.2,3.3,8.7,37.5,3.7,4.2,87.8,0.5,4.7,5.2,5.5,2.6,0.9,0.2,1.1,39.2,9.0,0.0,1.3
27,Joel Embiid,PHI,31,19,8,11,30.2,23.8,7.4,16.6,44.4,1.2,4.1,29.9,7.8,8.9,88.2,1.9,6.3,8.2,4.5,3.3,0.7,0.9,2.2,42.1,7.0,1.0,-3.0
28,De'Aaron Fox,SAS,27,62,27,35,36.1,23.5,8.7,18.8,46.3,1.9,6.1,31.0,4.2,5.1,82.7,0.9,3.9,4.8,6.3,2.8,1.5,0.4,2.6,41.6,9.0,0.0,-1.1
29,Zach LaVine,SAC,30,74,32,42,35.2,23.3,8.4,16.5,51.1,3.2,7.2,44.6,3.2,3.9,82.5,0.3,4.0,4.3,4.2,2.8,0.8,0.2,1.6,34.7,6.0,0.0,-0.9
30,Ja Morant,MEM,25,50,30,20,30.4,23.2,8.1,17.8,45.4,1.8,5.7,30.9,5.3,6.4,82.4,0.7,3.4,4.1,7.3,3.7,1.2,0.2,2.3,39.7,13.0,1.0,4.5
31,James Harden,LAC,35,79,50,29,35.3,22.8,6.7,16.4,41.0,3.0,8.5,35.2,6.4,7.3,87.4,0.7,5.1,5.8,8.7,4.3,1.5,0.7,2.1,45.0,38.0,3.0,4.4
32,Brandon Ingram,TOR,27,18,5,13,33.1,22.2,8.6,18.5,46.5,2.4,6.4,37.4,2.6,3.1,85.5,0.9,4.6,5.6,5.2,3.8,0.9,0.6,2.5,37.3,0.0,0.0,-7.1
33,DeMar DeRozan,SAC,35,77,38,39,35.9,22.2,8.1,17.0,47.7,1.1,3.3,32.8,4.9,5.7,85.7,0.6,3.2,3.9,4.4,1.4,0.8,0.4,1.9,35.8,3.0,0.0,1.4
34,Jaylen Brown,BOS,28,63,46,17,34.3,22.2,8.2,17.7,46.3,1.8,5.7,32.4,3.9,5.1,76.4,1.3,4.5,5.8,4.5,2.6,1.2,0.3,2.4,37.8,5.0,0.0,6.4
35,Jaren Jackson Jr.,MEM,25,74,42,32,29.8,22.2,8.0,16.4,48.8,2.0,5.3,37.5,4.2,5.4,78.1,1.2,4.4,5.6,2.0,2.1,1.2,1.5,3.5,38.2,6.0,0.0,4.5
36,Norman Powell,LAC,31,60,39,21,32.6,21.8,7.6,15.8,48.4,3.0,7.1,41.8,3.6,4.4,80.4,0.4,2.8,3.2,2.1,1.8,1.2,0.2,1.9,31.0,1.0,0.0,5.9
37,Jalen Williams,OKC,24,69,55,14,32.4,21.6,8.2,16.9,48.4,1.8,4.9,36.5,3.4,4.3,78.9,0.9,4.5,5.3,5.1,2.2,1.6,0.7,2.3,40.4,3.0,0.0,6.6
38,Kawhi Leonard,LAC,33,37,26,11,31.9,21.5,8.4,16.8,49.8,2.1,5.1,41.1,2.6,3.3,81.0,0.9,5.0,5.9,3.1,1.9,1.6,0.5,1.5,37.5,5.0,0.0,8.0
39,Jamal Murray,DEN,28,67,41,26,36.1,21.4,7.9,16.7,47.4,2.3,5.9,39.3,3.3,3.7,88.6,0.7,3.2,3.9,6.0,2.1,1.4,0.5,1.9,38.6,5.0,0.0,4.9
40,Trey Murphy III,NOP,24,53,14,39,35.0,21.2,7.2,15.8,45.4,3.0,8.3,36.1,3.8,4.3,88.7,0.9,4.2,5.1,3.5,1.9,1.1,0.7,2.1,36.0,2.0,0.0,-7.2
41,CJ McCollum,NOP,33,56,17,39,32.7,21.1,7.9,17.9,44.4,3.1,8.2,37.3,2.2,3.1,71.7,0.8,3.0,3.8,4.1,1.9,0.8,0.4,2.2,33.6,0.0,0.0,-5.0
42,RJ Barrett,TOR,24,58,23,35,32.2,21.1,7.9,16.9,46.8,1.8,5.3,35.0,3.4,5.4,63.0,1.1,5.3,6.3,5.4,2.8,0.8,0.3,2.4,37.2,10.0,2.0,-2.4
43,Brandon Miller,CHA,22,27,8,19,34.2,21.0,7.3,18.2,40.3,3.9,10.9,35.5,2.5,2.9,86.1,0.9,3.9,4.9,3.6,2.8,1.1,0.7,2.7,34.9,2.0,0.0,-4.6
44,Jalen Green,HOU,23,82,52,30,32.9,21.0,7.4,17.5,42.3,2.9,8.1,35.4,3.3,4.1,81.3,0.5,4.0,4.6,3.4,2.5,0.9,0.3,1.5,32.8,4.0,0.0,2.0
45,Darius Garland,CLE,25,75,60,15,30.7,20.6,7.4,15.7,47.2,2.8,7.1,40.1,3.0,3.4,87.8,0.6,2.2,2.9,6.7,2.5,1.2,0.1,1.9,35.7,7.0,0.0,6.7
46,Jordan Poole,WAS,25,68,15,53,29.4,20.5,6.7,15.5,43.2,3.5,9.1,37.8,3.6,4.0,88.3,0.5,2.5,3.0,4.5,3.0,1.3,0.4,3.0,32.7,1.0,0.0,-8.2
